source	target	score
MAL	PDCL3P2	0.1221655085682869
SOX6	SPINK5	0.11152639240026474
SOX6	PCAT5	0.10081955045461655
PBX1	OSBP2	0.09805864840745926
SOX6	GABRA2	0.0936768427491188
SOX6	SP9	0.09209082275629044
SOX6	RP11-478H12.2	0.08929279446601868
SOX6	AC005730.2	0.08769411593675613
MAL	RP11-67L17.1	0.08677047491073608
MAL	RP11-15E1.5	0.08439451456069946
SOX6	OR10K1	0.08354447036981583
MAL	NATD1	0.08313000947237015
MAL	IGKV3-11	0.081453338265419
PBX1	C2orf88	0.0814451277256012
MXI1	XGY1	0.0812591090798378
NCOA4	CTD-2542L18.1	0.07938826829195023
MAL	CTD-2542L18.1	0.07810840755701065
MAL	CTA-392E5.1	0.07287281006574631
MAL	SLC38A5	0.07092676311731339
MAL	CCL4	0.06572667615754264
NCOA4	TRAV25	0.06551700830459595
MAL	IL7R	0.06519693954318177
MAL	OR52N2	0.06407935172319412
NFIX	IGLV4-69	0.0632762610912323
NCOA4	OR52N2	0.06319428980350494
MAL	TMEM86B	0.06281393766403198
MAL	SLC7A14	0.06244580075144768
MXI1	SLC7A14	0.062419593334198
NCOA4	MMP13	0.06206110492348671
PBX1	IGHG3	0.06156891584396362
NCOA4	BTBD10P2	0.058902304619550705
NCOA4	IGHV1-2	0.058057188987731934
MAL	KRT1	0.05753028392791748
MAL	HSPA1A	0.05721236830172331
MAL	BTBD10P2	0.05545129254460335
MXI1	ABCC9	0.05509266257286072
MAL	CXCL1	0.054818566888570786
MAL	IGKC	0.05395129323005676
NCOA4	TCAM1P	0.05371107533574104
LYL1	ABALON	0.05362263321876526
MXI1	HSPB3	0.05350843071937561
MAL	TSPAN5	0.05332223935560747
MXI1	IL7R	0.0529749834979022
MAL	MTCO1P12	0.05296031066349575
LYL1	CCL22	0.05264134332537651
MXI1	RP11-162A12.3	0.052563708275556564
NCOA4	AC137932.5	0.0517815463244915
PBX1	TPSB2	0.051763334444590976
MAL	IGHG1	0.05170334875583649
NFIX	JCHAIN	0.05120912194252014
MAL	SNORD11	0.05120011791586876
MAL	RBM38	0.05053265784916125
MXI1	IGKV4-1	0.050382744520902634
MAL	ATP6V0C	0.0502547025680542
HOXD1	SEMG1	0.049839314073324203
LYL1	ADH6	0.049818795174360275
NFE2	SEMG1	0.0496244914829731
PBX1	HLA-DRA	0.04960861802101135
MAL	RP11-285C1.2	0.04950709640979767
MXI1	IGHV4-55	0.049349281936883926
NCOA4	SEMG1	0.049254413694143295
NFIX	CSNKA2IP	0.04906390234827995
MAL	PRDX2	0.04885404385053194
MAL	MXI1	0.04854600826899211
NFIX	IL7R	0.04835570976138115
NCOA4	RP11-432O12.1	0.04820266366004944
MAL	R3HDM4	0.0475645512342453
MAL	IGHG4	0.04741767421364784
MAL	IL1R1	0.04704313576221466
FOXA1	IGKC	0.04685093089938164
MAL	AC096579.15	0.046726103872060776
SOX6	IL7R	0.04671336114406586
MAL	GUK1	0.046360040322328225
MAL	GPX1	0.04612188753874406
MXI1	XIRP2	0.04595637694001198
TAL1	FCGR3B	0.04592505097389221
MXI1	TCAM1P	0.045876216143369675
NCOA4	IGHV5-51	0.045736443251371384
NCOA4	XIRP2	0.045667558908462524
MAL	GYPC	0.04550581872463226
PBX1	FCGR3B	0.04536403343081474
NCOA4	CLDN5	0.044746652245521545
MAL	TCP11L2	0.044700197378794354
MAL	DCAF12	0.04460164606571197
NCOA4	IGLV1-40	0.04455044865608215
LYL1	IGHG1	0.044505639870961504
MAL	DPCD	0.04446999356150627
MAL	CCL20	0.04445352032780647
MAL	IGKV1-6	0.04422497749328613
MAL	CTNNAL1	0.04414617121219635
MXI1	ABALON	0.044123902916908264
MXI1	IGHG4	0.04394634564717611
NCOA4	IGLV2-14	0.04384104534983635
MXI1	TSPAN5	0.04372325208452013
GATA1	TPSB2	0.043454479426145554
NCOA4	RP11-567M21.3	0.043400686234235764
GATA1	GNLY	0.043383508920669556
MXI1	IGHV1-18	0.04338100552558899
MAL	PIM1	0.043373785520854746
MAL	GABARAPL2	0.04334337711334228
MAL	BSG	0.04328343868255615
MXI1	CCL4	0.043262969702482224
LYL1	IGHV3-53	0.04324372485280037
MAL	SLC25A39	0.043241606308863714
TAL1	IGKC	0.04302869364619255
MAL	EPB41	0.042907831516671685
NFE2	CPA3	0.04277835413813591
MXI1	DRC7	0.04276319965720177
MAL	ACSL6	0.04273633286356926
MAL	PLAUR	0.04248252883553505
MXI1	RP11-477H21.2	0.0424317829310894
LYL1	IGHV1-69	0.042316097766160965
LYL1	IGLV5-45	0.042307913303375244
NCOA4	TPSB2	0.04228902757167816
NCOA4	RP1-84D21.2	0.04227982088923454
NFIX	IGLV6-57	0.042244572192430496
NFIX	IGHV1-18	0.04224378988146782
MXI1	CHP2	0.04224279522895813
NCOA4	GNLY	0.042214613407850266
NFE2	S100A12	0.042149686813354494
NFE2	CLC	0.042144905775785446
MAL	TRBV27	0.04207589849829674
MXI1	SERPINC1	0.04206383600831032
MAL	RP11-567M21.3	0.04198812320828438
MAL	OPTN	0.04197360947728157
PBX1	CCL4	0.04195229709148407
LYL1	AC096579.15	0.04191392660140991
SOX6	IGHV3-7	0.041894227266311646
NFIX	IGKV4-1	0.0418789933125178
MAL	SIAH2	0.04184877541330126
PBX1	IL1B	0.04172636941075325
NFE2	IGHG1	0.04159685596823692
MAL	SLC14A1	0.041331180930137636
LYL1	IGHM	0.041182168892451694
NCOA4	CLC	0.04105415691932043
MAL	GMPR	0.041026677936315536
MXI1	IGLV4-69	0.04099427908658981
LYL1	IGKC	0.04083772139115767
LYL1	SNORD17	0.04080149903893471
LYL1	JCHAIN	0.04076488722454418
MAL	TENT5C	0.04051308198408647
MXI1	RP11-425D17.1	0.040473368018865585
MAL	RNU6-1092P	0.04037155210971832
MAL	IGHA1	0.04031469605185769
FOXA1	CCL4	0.040241360664367676
NCOA4	IL7R	0.04023624791039361
NCOA4	IGHV1-69	0.04022953286767006
NCOA4	ABALON	0.04022577404975891
NCOA4	APOA4	0.040207263082265854
MXI1	TPSAB1	0.04014606773853302
SOX6	IGHM	0.04014041647315025
MAL	MKRN1	0.04005778953433037
MXI1	ACSL6	0.0400551050901413
MAL	MFSD2B	0.04003804922103882
NFE2	DRC7	0.040033008903265
GATA1	LYZ	0.04000016674399376
MXI1	IGKC	0.03994298294970864
LYL1	IGLV3-21	0.039934057742357254
SOX6	HSPA1A	0.03987295248291709
PBX1	IGHG4	0.03983696550130844
MAL	FBXO9	0.0398260235786438
SOX6	S100A12	0.0397984117269516
NFIX	IGHM	0.03978253262383597
MAL	DPM2	0.03975474834442139
MXI1	JCHAIN	0.03971165666977564
MAL	IGHG3	0.03968180219332377
LYL1	IGLV1-47	0.03965555503964424
PBX1	KRT1	0.03964647278189659
NEUROD1	TUSC7	0.03956785798072815
MXI1	TPSB2	0.03956189503272375
PBX1	HSPA1A	0.039470817893743515
NCOA4	RNU6-1092P	0.039391856640577316
MXI1	RP11-1334A24.5	0.03933054208755493
LYL1	RP11-192M23.1	0.03931058198213577
MAL	GLUL	0.039222538471221924
NEUROD1	IGHV4-61	0.039102789014577866
MXI1	HSPA1A	0.03907412813420881
NFIX	FCGR3B	0.03905285894870758
LYL1	TPSB2	0.03897368535399437
LYL1	IGHV2-5	0.038887523114681244
PBX1	CPA3	0.03884418521608625
LYL1	IGKV1-5	0.03883901983499527
LYL1	RP11-257N21.1	0.03874807432293892
MAL	FKBP8	0.038733433032857964
MAL	TALDO1	0.038683204650878905
MAL	CLDN5	0.0385374017059803
PBX1	TSPAN5	0.03850259259343147
MAL	C9orf78	0.03845258156458537
MXI1	RP11-826N14.1	0.0384490005671978
MXI1	YBX3P1	0.038432907313108444
FOXA1	RBM38	0.038330528885126114
LYL1	IL7R	0.03830583393573761
PBX1	JCHAIN	0.038249362260103226
NCOA4	TUSC7	0.038235846906900406
MAL	BAG1	0.03819016473633902
PBX1	CTSG	0.038058843463659286
MAL	RP11-1299A16.3	0.0380585677921772
NEUROD1	ST6GALNAC4	0.03804505988955498
MAL	IGF2R	0.03798013687133789
PBX1	C1QA	0.037893686443567276
MXI1	NUDT4B	0.037874121218919754
MAL	RP11-439C15.4	0.03779951483011246
MXI1	CLDN5	0.0377950593829155
NCOA4	RP11-792D21.3	0.03775298222899437
TAL1	CTD-2272D18.1	0.03770545497536659
NCOA4	MMP20	0.037624478340148926
LYL1	IGHG4	0.03753338505824407
MXI1	GPX1	0.037510655392175435
MXI1	FABP6-AS1	0.03750964254140854
MXI1	PRDX2	0.0375076922086569
MXI1	EIF1AY	0.03742701666695731
PBX1	MARCHF8	0.0374007523059845
MAL	GSPT1	0.03735413695826675
NFE2	IGHG2	0.037297870963811874
MAL	IGHA2	0.037296462804079056
TAL1	TPSB2	0.03720106432835261
MXI1	OPRPN	0.03717850521206856
MAL	CA3-AS1	0.03712381422519684
NFIX	FHDC1	0.03711996600031853
SOX6	FCGR3B	0.037103500217199326
MAL	HMBS	0.03708667804797491
LYL1	KDM7A-DT	0.037082329392433167
MAL	PADI4	0.0370677150785923
ANKRD1	IL1B	0.0370301827788353
SOX6	IGLV6-57	0.03698057308793068
NCOA4	CSNKA2IP	0.03695486858487129
NCOA4	RP11-15E1.5	0.036944519728422165
MXI1	IGHM	0.036939492351130435
MAL	LGALS3	0.03681700995990208
PBX1	TPSAB1	0.0367377655846732
MXI1	MAL	0.036729880174001056
NCOA4	KLK3	0.03671063110232353
MAL	YPEL3	0.03669405344760779
LYL1	HTN3	0.03667038679122925
MXI1	APOA4	0.03665198013186455
SOX6	IL1B	0.03662355492512385
LYL1	IGLV1-40	0.036570094525814056
NFE2	S100A8	0.03656840085983276
MXI1	IGKV3-20	0.036561290423075356
FOXA1	IGLC3	0.036435142159461975
FOXA1	IGLC2	0.036349717527627945
NCOA4	HTN3	0.036232609301805496
FOXA1	IGHA1	0.03622039034962654
MXI1	MARCHF8	0.036197845752422624
LYL1	IGHV1-46	0.03619590774178505
PBX1	IGLC3	0.036189946035544075
MXI1	IGHV4-34	0.036187417805194855
MAL	IGHG2	0.036186132580041885
MAL	HAGH	0.036060717370775014
PBX1	IGKC	0.03605708777904511
SOX6	MARCHF8	0.03598639369010925
GATA1	CPA3	0.035922735929489136
MXI1	USH2A	0.03588993474841118
PBX1	S100A12	0.03588148579001427
MXI1	AC096579.15	0.03584877774119377
MXI1	OR10AH1P	0.03583010658621788
ANKRD1	MKRN1	0.035826876759529114
NCOA4	TSPAN5	0.03580590840932485
MAL	BCL2L1	0.035760700702667236
GATA1	IL7R	0.03575696423649788
SOX6	JCHAIN	0.035748464365800224
LYL1	IGKV1D-8	0.03573169559240341
MXI1	TCP11L2	0.03571934700012207
LYL1	IGHG3	0.03568487986922264
MXI1	KB-1440D3.21	0.03562768176198006
NEUROD1	GABRG2	0.0355963371694088
MXI1	ORM2	0.035564061254262924
NFIX	IGKC	0.035561347007751466
NCOA4	CFAP77	0.03541562333703041
FOXA1	IGHG3	0.03539438918232918
NCOA4	JCHAIN	0.035384813944498696
NCOA4	ACSL6	0.03536084294319153
LYL1	IGHV1-69D	0.03530721366405487
LYL1	IGLC2	0.035286771754423775
LYL1	IGKV3-20	0.03527626767754555
ANKRD1	HSPA1A	0.035219576209783554
MXI1	TENT5C	0.035160236060619354
MAL	HLA-DRA	0.03513950854539871
NCOA4	IGKC	0.03513720474745098
SOX6	KDM7A-DT	0.03510642051696777
NCOA4	RP11-439C15.4	0.03509807959198952
PBX1	SLC2A1	0.03509518504142761
PBX1	GPX1	0.03508833944797516
PBX1	RP11-477H21.2	0.035080309957265854
FOXA1	FECH	0.03506083786487579
MXI1	GYPC	0.03500050521758666
MAL	SLC2A1	0.0349436029791832
FOXA1	EPB41	0.03494041785597801
ANKRD1	GPX1	0.034881968051195145
MAL	MZB1	0.03480232134461403
SOX6	IGHG1	0.03479832783341408
MXI1	HTN3	0.03479383513331413
MAL	PLEK2	0.03479103744029999
MAL	STMP1	0.03477606406578651
LYL1	IGHV3-23	0.03474978730082512
MXI1	IGLV1-40	0.034723833203315735
MXI1	EPB41	0.034640793005625406
NFE2	IL1B	0.034623820673335685
TAL1	MMP20	0.03459881991147995
NCOA4	S100A12	0.03459157877498203
LYL1	HLA-DRA	0.03456399628990575
SOX6	TRBV27	0.034548819065093994
MAL	IGHGP	0.03446895629167557
MAL	SLC40A1	0.03446561470627785
MAL	RNF10	0.034396250139583244
PBX1	CA3-AS1	0.03434351459145546
MAL	BNIP3L	0.03433695435523987
NEUROD1	RP11-257I14.1	0.03433651104569435
MAL	GLRX5	0.03425239771604538
SOX6	IGKC	0.0342510598046439
NCOA4	NATD1	0.03416997566819191
LYL1	IGHV1-2	0.034153327345848083
NCOA4	TRBV27	0.034144774079322815
GATA1	TPSAB1	0.03411640599370003
TAL1	THBS1	0.03411620110273361
GATA1	MMP20	0.03408654406666756
NCOA4	LINC02118	0.03404346480965614
MAL	SOX6	0.03395814448595047
LYL1	IGKV3-11	0.033947646617889404
NCOA4	CPA3	0.03393069157997767
MXI1	IGHV3-30	0.033882830291986465
MAL	ADIPOR1	0.0338736375172933
MXI1	KRT1	0.0338340699672699
SOX6	HLA-DRA	0.033777568489313126
FOXA1	TESC	0.033726777881383896
MXI1	CTSG	0.033712103962898254
LYL1	IGKV4-1	0.033682968467473984
MXI1	RBM38	0.033673718918201534
MXI1	TPH2	0.033668868243694305
MAL	LYZ	0.03365521381298701
ANKRD1	IL1R2	0.033609334379434586
MXI1	SNORD71	0.03359970077872276
FOXA1	LCN2	0.033599477261304855
LYL1	IGLV2-11	0.033559415489435196
SOX6	TSPAN5	0.033547142148017885
TAL1	IGHG3	0.03350342437624931
PBX1	RP11-15E1.5	0.033495623618364334
MXI1	IGKV2-24	0.03346666321158409
MXI1	FGL1	0.03344482183456421
PBX1	CXCL8	0.033443715423345566
SOX6	S100A8	0.03343471884727478
PBX1	RP11-792D21.3	0.03343113884329796
FOXA1	DMTN	0.033391255885362625
MXI1	S100A12	0.03337370024787055
NFIX	CCL4	0.03336136415600777
NFE2	FCGR3B	0.0333531520984791
LYL1	GPX1	0.03335138684824893
GATA1	GPX1	0.03326186963490078
SOX6	LYZ	0.03324285575321743
MAL	BBOF1	0.033221784979104996
SOX6	MXI1	0.033211353752348155
NCOA4	LINC01633	0.03316091373562813
NKX2-5	IL1B	0.033116791397333145
SOX6	SLFN14	0.03310524299740791
MXI1	IGHA1	0.0330263986143955
MAL	TUBB2A	0.033003154397010806
NEUROD1	HLA-DRA	0.03298267722129822
LYL1	S100A12	0.03297396158349925
LYL1	CEACAM8	0.03295773267745972
NCOA4	TPSAB1	0.03281923234462738
FOXA1	IGHGP	0.03280430659651756
SOX6	MAL	0.03278021141886711
NCOA4	GPX1	0.032721202764938125
MXI1	RP11-159F24.2	0.032617587596178055
PBX1	PLAUR	0.032613936066627505
FOXA1	S100A8	0.032610565423965454
NCOA4	AC096579.15	0.032562317756506115
MXI1	IGHG3	0.03238949179649353
MAL	ISCA1	0.03238272070884705
FOXA1	FBXO7	0.032377924770116806
MAL	CHPT1	0.03237733883517129
PBX1	IGHGP	0.0323692187666893
MAL	APOA1	0.032361727207899094
SOX6	CSF3R	0.03233189880847931
PBX1	IGHG2	0.0323185957968235
MXI1	GNLY	0.03231852915551928
NFE2	LYZ	0.03227925651213702
ANKRD1	LYZ	0.032247599214315414
SOX6	CXCL8	0.032227523624897
NFIX	HLA-DRA	0.03218093886971474
MAL	BPGM	0.0321123633119795
NCOA4	IGHV1-69D	0.03208829959233602
LYL1	IGLC3	0.032009386354022555
NCOA4	HSPA1A	0.03197696677639953
MXI1	CPA3	0.03197617083787918
MAL	MARCHF8	0.031957474621859466
FOXA1	DPM2	0.031928032636642456
NCOA4	MAL	0.03191993517034194
FOXA1	ADIPOR1	0.03182339295744896
LYL1	MARCHF8	0.03182248065346166
MXI1	CA3-AS1	0.03176343813538551
PBX1	IGLV1-40	0.0316898413002491
LYL1	IGHA2	0.03168750802675883
PBX1	G0S2	0.03162524402141571
SOX6	MNDA	0.031616626041276116
NCOA4	PA2G4P5	0.0316074900329113
MXI1	HLA-DRA	0.031482283025979996
NCOA4	IGHM	0.03144985696543818
LYL1	LACRT	0.031376540660858154
PBX1	LGALS3	0.03133019166333335
NKX2-5	ZP2	0.031303584575653076
NFE2	MNDA	0.031248991904051407
MXI1	CTNNAL1	0.031209482087029353
SOX6	YPEL4	0.031154802069067955
PBX1	IGLV2-8	0.03111865371465683
GATA1	PLAUR	0.031066639348864555
NEUROD1	IGHV4-55	0.031046127900481224
LYL1	RBM38	0.03094906960764239
LYL1	RP11-663P9.3	0.030948936939239502
PBX1	R3HDM4	0.03093726933002472
TAL1	CPA3	0.030898066858450573
MXI1	C9orf78	0.03081519429276629
NCOA4	EIF1AY	0.030785022463117328
MXI1	IGLC2	0.0307493320217839
LYL1	TMEM242-DT	0.03074287436902523
MXI1	GUK1	0.030740680192646228
MXI1	OPTN	0.03065173625946045
PBX1	APOC3	0.030647307634353638
MXI1	CCL20	0.0305928498506546
NCOA4	IGKV1-6	0.030587757006287575
MXI1	TMEM242-DT	0.03054211474955082
NFIX	IGLC3	0.03052792251110077
NCOA4	TCP11L2	0.030462641465036494
NCOA4	FCGR3B	0.030460137587327223
NCOA4	RP11-477H21.2	0.030458709225058556
TAL1	GNLY	0.030451389029622078
NCOA4	ATP6V0C	0.03042797088623047
NFIX	IGHV3-15	0.030421102419495583
LYL1	CPA3	0.030415207147598267
PBX1	S100A8	0.0303462619582812
LYL1	PIP	0.030325770378112793
NCOA4	CCL4	0.030259450961803568
MXI1	SRRD	0.030206298828125
NFE2	ORM2	0.030195799966653187
SOX6	IGHG3	0.030175087973475456
LYL1	GNLY	0.030163340270519257
NCOA4	IGHV4-55	0.030161353449026745
TAL1	TMEM242-DT	0.030161142349243164
PBX1	CTD-2272D18.1	0.030151167884469032
LYL1	TCP11L2	0.03006332920443627
MXI1	SIAH2	0.029983223461713948
TAL1	GPX1	0.02996633095400674
NEUROD1	ABCC9	0.029958048835396767
NFIX	GNLY	0.029957255348563194
MXI1	IGHV4-4	0.029893524944782257
NCOA4	ATP1B2	0.029893082877000172
MXI1	RP11-245P10.6	0.02988731861114502
MXI1	GSPT1	0.029872520025386366
PBX1	ADCYAP1	0.029847709462046623
MXI1	IGHG1	0.029835358262062073
TAL1	CXCL1	0.029826203361153603
LYL1	HSPA1A	0.02981320930563885
NFE2	HSPA1A	0.029702410978429458
MXI1	YPEL4	0.02968652794758479
NEUROD1	IGLJ3	0.02966153435409069
NCOA4	URAHP	0.029641861096024513
NFE2	PGLYRP1	0.02959060939875516
MXI1	LINC02118	0.029569273814558983
NCOA4	GABRG2	0.029555870220065117
NFIX	HSPA1A	0.0295524001121521
MXI1	FKBP8	0.0295358806848526
TAL1	TPSAB1	0.029528088867664337
LYL1	PRKAA2	0.02952585369348526
NFIX	RP11-254F19.4	0.029525352641940117
LYL1	SCARNA9	0.029494842514395714
SOX6	GPX1	0.029488205909729004
MXI1	MKRN1	0.029483245478736028
PBX1	APOA4	0.029467547312378883
LYL1	IGHV3-15	0.029431618750095367
MXI1	HAGH	0.029398326971093004
NFE2	GPX1	0.029389852079851873
NFE2	IGHM	0.02938597835600376
NCOA4	ASB4	0.029370730742812157
PBX1	BASP1	0.02936249040067196
LYL1	FCGR3B	0.029361020241464888
NCOA4	RBM38	0.029316348058206064
NCOA4	IGHV4-34	0.02926993928849697
PBX1	IGHA1	0.02918468415737152
NCOA4	IGLC2	0.02916417717933655
SOX6	APOA4	0.029137155041098595
PBX1	EIF1AY	0.029118627309799194
NCOA4	SIAH2	0.029116303650374264
PBX1	IL7R	0.02911532111465931
NCOA4	IL1B	0.029088986163236658
NCOA4	IGHV1-18	0.029063257078329723
NFIX	IL1B	0.02900661826133728
PBX1	CTSB	0.02899004112590443
NFIX	AC007131.2	0.02898707427084446
SOX6	ALPL	0.028976431116461754
MXI1	APOD	0.028968621577535356
PBX1	IGF2R	0.028953850269317627
LYL1	RAP1GAP	0.02893909253180027
SOX6	IGF2R	0.02893672539637639
NCOA4	SLFN14	0.028815725818276405
MXI1	C4orf17	0.0288062896579504
SOX6	NATD1	0.02878229320049286
NCOA4	MARCHF8	0.02874111610910167
TAL1	PLAUR	0.028724392255147297
NCOA4	S100A8	0.02863202528520064
LYL1	IGKV1-39	0.02861768938601017
PBX1	TCP11L2	0.028522896269957226
NCOA4	ORM2	0.028483489528298378
MXI1	IGLC3	0.028483343475005207
NFE2	IGKC	0.028480029106140135
MXI1	IGHV3-23	0.02847941964864731
ANKRD1	C1QA	0.028429871425032616
PBX1	MMP9	0.028423473238945007
NCOA4	IGLJ3	0.028350958600640297
MXI1	IGKV1D-39	0.028328007087111473
MXI1	IGHV1-69D	0.02831619419157505
NCOA4	RP11-257I14.1	0.028297962620854378
LYL1	EIF1AY	0.028276589512825013
MXI1	ASB4	0.0282764732837677
SOX6	PADI4	0.028260722756385803
NCOA4	DEFA1	0.02825993299484253
GATA1	CTSG	0.028250275179743767
MXI1	URAHP	0.028244363144040108
LYL1	IGHG2	0.028237087385995046
MXI1	IGKV1-39	0.028236499056220055
NCOA4	HLA-DRA	0.02823441837905744
MXI1	FBLN1	0.028137197718024254
LYL1	TPSAB1	0.0281235221773386
NFIX	ALPL	0.028118940070271492
TAL1	IL7R	0.028111115097999573
LYL1	PGLYRP1	0.028099557384848595
ANKRD1	AQP9	0.028073018416762352
NFE2	IGLC3	0.028042400255799294
NEUROD1	RP11-217O12.1	0.027999987825751305
NCOA4	IGHG1	0.027997979521751405
FOXA1	SIAH2	0.027983343228697777
MXI1	IGLV5-45	0.0279679074883461
MXI1	ATP6V0C	0.0279623634285397
