layer	head	head_id	n_thresholds_tested	n_thresholds_significant	min_q_value	max_odds_ratio	mean_odds_ratio	mean_high_conf_fraction	max_high_conf_fraction
0	3	0:3	4	4	0.0	3.1605463632078936	3.0608780365085266	0.24012408793047357	0.36296881535530046
0	5	0:5	4	4	5.03117877e-316	2.280884711026937	2.2195245081113417	0.21687464083408586	0.3379853870782366
9	1	9:1	4	3	4.160732250144342e-48	3.060638297436561	2.067632824065733	0.23922686945500635	0.4309252217997465
0	4	0:4	4	2	1.984783706709784e-08	1.3063667656030038	1.2155429893037528	0.1484936665525505	0.24477918521054434
1	4	1:4	4	2	0.07085338450745787	1.1307854396986563	1.086019856042327	0.13215198584349194	0.20762878489972472
1	3	1:3	4	1	0.003936957035476167	1.0989513405886073	0.9286194328555359	0.1227074736359468	0.21423658872077028
7	6	7:6	4	0	1.0	1.1633429599417227	0.8453480427296537	0.09615384615384616	0.11538461538461539
10	5	10:5	4	0	1.0	0.9666181136976275	0.7989555384278597	0.09964028776978417	0.15827338129496402
1	6	1:6	4	0	1.0	0.7232927082839352	0.6741179151188872	0.09229126785451333	0.15549992637314092
0	6	0:6	4	0	1.0	0.8518744080226616	0.6562201275936489	0.08155166828636216	0.12115322319403952
2	0	2:0	4	0	1.0	0.8254910759429669	0.6288155901070761	0.09042207792207792	0.17142857142857143
10	4	10:4	4	0	1.0	0.7711068279655848	0.5940664159259652	0.07454427083333333	0.1171875
1	5	1:5	4	0	1.0	0.773071832047403	0.5639885201748083	0.08403180743606276	0.16333548248441865
6	0	6:0	4	0	1.0	0.8888184252380664	0.5071539393529363	0.07954545454545454	0.18181818181818182
10	7	10:7	4	0	1.0	0.5040055997729883	0.46412862724954584	0.06230886850152905	0.09862385321100918
11	5	11:5	4	0	1.0	0.4531854057122051	0.44628327172943927	0.0608600583090379	0.10058309037900874
8	7	8:7	4	0	1.0	0.48898069227439006	0.4355789000024307	0.06358506944444445	0.109375
6	1	6:1	4	0	1.0	0.4746713431314125	0.4269120751276664	0.06084070796460177	0.10619469026548672
4	0	4:0	4	0	1.0	0.6487142902242572	0.37103232197234315	0.06418918918918919	0.13963963963963963
0	7	0:7	4	0	1.0	0.5572773633091107	0.3649946563178924	0.04575268817204301	0.06795698924731183
0	1	0:1	4	0	1.0	0.410278559810887	0.3623566805281756	0.05404663923182442	0.09492455418381344
1	2	1:2	4	0	1.0	0.43436672274119975	0.35979073239546333	0.04816272965879265	0.07874015748031496
6	4	6:4	4	0	1.0	0.46474752380842005	0.352872211288178	0.05381944444444445	0.10416666666666667
3	7	3:7	4	0	1.0	0.4263285217182478	0.3518709377381281	0.046030871003307605	0.06945975744211687
6	7	6:7	4	0	1.0	0.48401385197712815	0.3171635851001139	0.049212598425196846	0.07874015748031496
4	6	4:6	4	0	1.0	0.554416468465513	0.3006412222103856	0.03368794326241135	0.0425531914893617
0	2	0:2	4	0	1.0	0.4203844701273207	0.2984006120923596	0.04899283031751451	0.09662000682826903
4	1	4:1	4	0	1.0	0.28132953780499376	0.25916720466432486	0.03621223857474826	0.061967467079783116
8	5	8:5	4	0	1.0	0.3223758526924521	0.2581145534699464	0.03571428571428571	0.06060606060606061
2	5	2:5	4	0	1.0	0.7645586569848778	0.24559085062549857	0.04938271604938271	0.16049382716049382
4	5	4:5	4	0	1.0	0.3328160633108302	0.23083526471520904	0.038461538461538464	0.07692307692307693
2	7	2:7	4	0	1.0	0.251881496354436	0.2122790980405533	0.03244606819763396	0.060542797494780795
1	1	1:1	4	0	1.0	0.2351790627079205	0.20149090008260087	0.02781392322706571	0.044892648015614836
9	5	9:5	4	0	1.0	0.4443136248597463	0.18587574081629682	0.035	0.1
10	0	10:0	4	0	1.0	0.19769596990235958	0.15305078829243077	0.0242152466367713	0.04753363228699552
3	6	3:6	4	0	1.0	0.21401073110964508	0.14580679493164328	0.024798927613941018	0.05093833780160858
7	1	7:1	4	0	1.0	0.22739485037167295	0.1253906849627317	0.023076923076923078	0.05384615384615385
6	6	6:6	4	0	1.0	0.3045065562456867	0.12169305273854832	0.024336283185840708	0.07079646017699115
10	6	10:6	4	0	1.0	0.1768488396855018	0.11717695731123465	0.019756277695716397	0.04283604135893648
1	0	1:0	4	0	1.0	0.18394827646300232	0.11527380437327832	0.02022058823529412	0.04411764705882353
0	0	0:0	4	0	1.0	0.127409317237791	0.10849199706738753	0.016242937853107344	0.031073446327683617
5	5	5:5	4	0	1.0	0.2595697107312377	0.10028280742200285	0.021341463414634144	0.06097560975609756
3	1	3:1	4	0	1.0	0.11304578630022134	0.08055623621109688	0.013975155279503104	0.024844720496894408
7	4	7:4	4	0	1.0	0.1209321602419741	0.07693893893131033	0.01365546218487395	0.029411764705882353
11	2	11:2	4	0	1.0	0.1427780868150333	0.0740295560511662	0.01171875	0.015625
1	7	1:7	4	0	1.0	0.10539254160880678	0.07144880878293003	0.009668508287292817	0.016574585635359115
2	2	2:2	4	0	1.0	0.09339133517785851	0.06870962079794055	0.011313220940550133	0.023070097604259095
2	6	2:6	4	0	1.0	0.1095156757468453	0.06862041966231426	0.012266355140186916	0.026869158878504672
9	0	9:0	4	0	1.0	0.1115449119341048	0.06508427263114042	0.012272727272727272	0.02727272727272727
5	1	5:1	4	0	1.0	0.12491934936158652	0.05301070060631875	0.011363636363636364	0.030303030303030304
8	4	8:4	4	0	1.0	0.055488608803435834	0.0500356021361784	0.007797270955165692	0.01364522417153996
11	7	11:7	4	0	1.0	0.10224596993298316	0.04360207228036044	0.008875739644970414	0.01775147928994083
4	2	4:2	4	0	1.0	0.09935977886158197	0.04237308121944368	0.008620689655172414	0.017241379310344827
7	0	7:0	4	0	1.0	0.09438877150618774	0.040253106611624886	0.00819672131147541	0.01639344262295082
9	7	9:7	4	0	1.0	0.058780251358930856	0.014695062839732714	0.0036231884057971015	0.014492753623188406
5	7	5:7	4	0	1.0	0.04541081343612244	0.01135270335903061	0.0028089887640449437	0.011235955056179775
10	2	10:2	4	0	1.0	0.021442278487703786	0.011115907615408677	0.0017899761336515514	0.002386634844868735
2	4	2:4	4	0	1.0	0.0	0.0	0.0	0.0
7	5	7:5	4	0	1.0	0.0	0.0	0.0	0.0
7	7	7:7	4	0	1.0	0.0	0.0	0.0	0.0
8	1	8:1	4	0	1.0	0.0	0.0	0.0	0.0
9	4	9:4	4	0	1.0	0.0	0.0	0.0	0.0
9	6	9:6	4	0	1.0	0.0	0.0	0.0	0.0
11	0	11:0	4	0	1.0	0.0	0.0	0.0	0.0
